"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.790422700E-2,2.614158690E-1,1.002114105E1,1.597807288E0,1.015108833E1
2.005543100E-2,2.518445849E-1,1.002114105E1,1.583450437E0,1.014859640E1
2.221047900E-2,2.422732860E-1,1.002592659E1,1.588235974E0,1.015383641E1
2.436785800E-2,2.327020019E-1,1.003071213E1,1.564307809E0,1.015462431E1
2.652447400E-2,2.321037948E-1,1.002592659E1,1.540379524E0,1.014622320E1
2.868397900E-2,2.273181528E-1,1.003549862E1,1.521835208E0,1.015277738E1
3.084347400E-2,2.177468538E-1,1.001156998E1,1.469193101E0,1.012114003E1
3.300093300E-2,2.219343036E-1,9.958928108E0,1.441077471E0,1.006509852E1
3.515837300E-2,2.075773627E-1,9.949356079E0,1.412363529E0,1.005124597E1
3.731849900E-2,2.267199457E-1,9.930213928E0,1.359721422E0,1.002543729E1
3.947650900E-2,2.219343036E-1,9.911071777E0,1.335793257E0,1.000314662E1
4.163650100E-2,2.458625287E-1,9.882955551E0,1.340578914E0,9.976492902E0
4.379628100E-2,2.315055877E-1,9.830313683E0,1.345962763E0,9.924730611E0
4.595364000E-2,2.261217386E-1,9.782457352E0,1.317248821E0,9.873335168E0
4.811084600E-2,2.404786795E-1,9.734601021E0,1.317248821E0,9.826262336E0
5.026833700E-2,2.356930375E-1,9.705886841E0,1.302891970E0,9.795780625E0
5.242632500E-2,2.213360965E-1,9.624530792E0,1.322632670E0,9.717506873E0
5.458382600E-2,1.926222295E-1,9.366703987E0,1.351944804E0,9.465727741E0
5.674156100E-2,1.776670814E-1,9.256634712E0,1.319043517E0,9.351830173E0
5.889901100E-2,1.728814393E-1,9.304491043E0,1.323829174E0,9.399785383E0
6.105591200E-2,1.639083475E-1,9.328418732E0,1.333400369E0,9.424660128E0
6.321333100E-2,1.639083475E-1,9.333204269E0,1.337587833E0,9.429989878E0
6.541372200E-2,1.447657645E-1,9.285347939E0,1.376471281E0,9.387934632E0
6.761434200E-2,8.255238086E-2,9.128020287E0,1.391426325E0,9.233831083E0
6.981522100E-2,9.212367237E-2,9.051449776E0,1.396211982E0,9.158964882E0
7.201839200E-2,1.112662554E-1,9.137591362E0,1.467398524E0,9.255334381E0
7.421678000E-2,1.405783296E-1,9.195018768E0,1.557727575E0,9.327092131E0
7.641476400E-2,1.746760458E-1,9.199805260E0,1.614557028E0,9.342040619E0
7.861523800E-2,1.698904037E-1,9.214161873E0,1.648056626E0,9.361929951E0
8.081330500E-2,1.651047617E-1,9.276374817E0,1.676172256E0,9.428040240E0
8.301351900E-2,1.794617027E-1,9.309874535E0,1.671386600E0,9.460417724E0
8.521675300E-2,1.794617027E-1,9.385847092E0,1.666600943E0,9.534353194E0
8.741650100E-2,1.752742529E-1,9.462417603E0,1.699502230E0,9.615423848E0
8.961718300E-2,1.800599098E-1,9.519845009E0,1.689931035E0,9.670353534E0
9.182063400E-2,1.896311939E-1,9.562915802E0,1.685145378E0,9.712107576E0
9.402127400E-2,1.657029688E-1,9.634700775E0,1.747358680E0,9.793272122E0
9.622264100E-2,1.758724600E-1,9.649057388E0,1.799402595E0,9.816979643E0
9.841873600E-2,2.045863420E-1,9.691530228E0,1.837089539E0,9.866230876E0
1.006191790E-1,2.243271172E-1,9.706484795E0,1.908874273E0,9.894946726E0
1.028197770E-1,2.195414752E-1,9.711270332E0,1.975275040E0,9.912551710E0
1.050206460E-1,2.099701911E-1,9.706484795E0,2.008774519E0,9.914389019E0
1.072257270E-1,2.105683982E-1,9.682557106E0,2.042274237E0,9.897834875E0
1.094218540E-1,1.770688742E-1,9.668199539E0,2.061416626E0,9.887106464E0
1.116224830E-1,1.722832322E-1,9.658628464E0,2.056631088E0,9.876665264E0
1.138228430E-1,1.579262912E-1,9.644271851E0,2.099701881E0,9.871457250E0
1.160234420E-1,1.579262912E-1,9.649057388E0,2.133201361E0,9.883309023E0
1.182284300E-1,1.914258152E-1,9.663414001E0,2.142772675E0,9.899984280E0
1.204305750E-1,2.153540403E-1,9.634700775E0,2.156531334E0,9.875447523E0
1.226317440E-1,2.159522474E-1,9.629914284E0,2.190030813E0,9.878163769E0
1.248323840E-1,2.542374134E-1,9.615557671E0,2.213959217E0,9.870420528E0
1.270332830E-1,2.925225794E-1,9.596415520E0,2.246860504E0,9.860281051E0
1.292323570E-1,3.068794906E-1,9.572486877E0,2.261217356E0,9.840720704E0
1.314324160E-1,3.457628787E-1,9.558130264E0,2.304288149E0,9.838046045E0
1.336330240E-1,3.505485058E-1,9.548559189E0,2.308475733E0,9.829899646E0
