"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.487408600E-2,-8.434699476E-2,2.530409992E-1,9.756733894E0,9.760379114E0
1.703062100E-2,-9.391828626E-2,2.338984162E-1,9.728020668E0,9.731285384E0
1.918979100E-2,-9.930214286E-2,2.673979402E-1,9.699904442E0,9.704097524E0
2.134641700E-2,-8.434699476E-2,2.626122832E-1,9.737591743E0,9.741497451E0
2.350284100E-2,-8.913264424E-2,2.721835673E-1,9.751948357E0,9.756153201E0
2.565931500E-2,-7.956135273E-2,2.673979402E-1,9.747162819E0,9.751154531E0
2.781871900E-2,-8.434699476E-2,2.626122832E-1,9.718449593E0,9.722362990E0
2.997623000E-2,-1.034895778E-1,2.673979402E-1,9.742377281E0,9.746595654E0
3.214018100E-2,-9.391828626E-2,2.578266263E-1,9.751948357E0,9.755808114E0
3.428946300E-2,-8.913264424E-2,2.673979402E-1,9.742377281E0,9.746453785E0
3.644831800E-2,-7.956135273E-2,2.626122832E-1,9.742377281E0,9.746240830E0
3.860375400E-2,-8.913264424E-2,2.578266263E-1,9.742377281E0,9.746195888E0
4.076300500E-2,-7.956135273E-2,2.721835673E-1,9.737591743E0,9.741719913E0
4.291977400E-2,-7.477571070E-2,2.626122832E-1,9.761520386E0,9.765338543E0
4.507743800E-2,-7.477571070E-2,2.673979402E-1,9.747162819E0,9.751116658E0
4.723374000E-2,-7.477571070E-2,2.721835673E-1,9.766305923E0,9.770384163E0
4.939708000E-2,-6.999006122E-2,2.626122832E-1,9.771091461E0,9.774870442E0
5.156547600E-2,-6.999006122E-2,2.626122832E-1,9.790233612E0,9.794005207E0
5.370812600E-2,-7.956135273E-2,2.626122832E-1,9.775876999E0,9.779727313E0
5.586458000E-2,-7.956135273E-2,2.721835673E-1,9.761520386E0,9.765638440E0
5.801814400E-2,-7.477571070E-2,2.626122832E-1,9.775876999E0,9.779689551E0
6.017824000E-2,-8.434699476E-2,2.578266263E-1,9.761520386E0,9.765288999E0
6.233733900E-2,-7.477571070E-2,2.721835673E-1,9.785448074E0,9.789518339E0
6.449403700E-2,-7.956135273E-2,2.626122832E-1,9.780662537E0,9.784510968E0
6.665267800E-2,-8.434699476E-2,2.626122832E-1,9.804591179E0,9.808470208E0
6.880805300E-2,-7.477571070E-2,2.769692242E-1,9.795019150E0,9.799219535E0
