"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
0.066,0.308840148031,0.221523267903,0.430278007319,-0.0148141629176
0.8,0.864466954843,0.206230786982,0.103017963418,-0.0084298460052
1.333,0.319035135312,0.213027445169,0.00498763446187,-0.00591424834843
1.9,0.849174473922,0.197734964248,0.00104778143588,-0.002681571156
4.2,0.32838054032,0.202832457888,-0.00402553383399,-0.0010211417406
8.633,0.841528233461,0.193487052881,-0.00432125871611,-0.000933777237031
13,0.339425109874,0.193487052881,-0.0138822800852,-0.00068058272385
21.933,0.352168843975,0.187539976967,0.0132373543673,-0.000890627701591
26.233,0.815191182985,0.178194571959,0.0050738738216,-0.000621117850668
30.466,0.360664666709,0.1832920656,0.00234548540269,-0.000531801244578
34.833,0.806695360251,0.173946660592,0.000411890288716,-0.000467755520343
39.3,0.37085965399,0.179893736506,-0.00035035099219,-0.000586337936979
43.766,0.797349955243,0.167999584678,0.000283364590882,-0.000561932965357
47.966,0.379355476724,0.174796242865,-0.000469482858662,-0.000486696615137
52.5,0.786305385689,0.163751673311,0.000329903106076,-0.000395729543216
56.733,0.388700881732,0.171397913772,-0.000317936209061,-0.00032884408993
61.033,0.778659145228,0.161202926491,0.0030484501262,-0.000392901349313
65.333,0.395497539919,0.168849166952,0.00903551212514,-0.000599638718278
69.766,0.769313740221,0.157804597397,0.0466734801051,-0.00154926599764
