Trial,config number,mass 1 (g),d(mass 1) (g),mass 2 (g),d (mass 2) (g),v_i (m/s),d(vi) (m/s),v_f(m/s),d(v_f) (m/s),F_pred,d(F_pred),v_f/v_i,d(v_f/v_i)
1,1,379.6,0.1,179.6,0.1,0.449,0.2,0.311,0.2,,,,
2,2,179.6,0.1,379.6,0.1,0.801,0.2,0.239,0.2,,,,
3,3,279.6,0.1,279.6,0.1,0.666,0.2,0.31,0.2,,,,
4,3,279.6,0.1,279.6,0.1,1.346,0.2,0.52,0.2,,,,
5,3,279.6,0.1,279.6,0.1,1,0.2,0.406,0.2,,,,
6,3,279.6,0.1,279.6,0.1,0.896,0.2,0.366,0.2,,,,
7,3,279.6,0.1,279.6,0.1,0.296,0.2,0.18,0.2,,,,
8,4,379.6,0.1,179.6,0.1,0.96,0.2,0.579,0.2,,,,
9,4,379.6,0.1,179.6,0.1,1.335,0.2,0.786,0.2,,,,
10,4,379.6,0.1,179.6,0.1,0.724,0.2,0.466,0.2,,,,
11,4,379.6,0.1,179.6,0.1,0.432,0.2,0.304,0.2,,,,
12,4,379.6,0.1,179.6,0.1,1.007,0.2,0.604,0.2,,,,
13,5,179.6,0.1,379.6,0.1,0.964,0.2,0.267,0.2,,,,
14,5,179.6,0.1,379.6,0.1,0.788,0.2,0.239,0.2,,,,
15,5,179.6,0.1,379.6,0.1,1.294,0.2,0.329,0.2,,,,
16,5,179.6,0.1,379.6,0.1,0.463,0.2,0.18,0.2,,,,
17,5,179.6,0.1,379.6,0.1,0.448,0.2,0.177,0.2,,,,
18,6,379.6,0.1,279.6,0.1,0.816,0.2,0.401,0.2,,,,
19,6,379.6,0.1,279.6,0.1,0.683,0.2,0.369,0.2,,,,
20,6,379.6,0.1,279.6,0.1,0.827,0.2,0.398,0.2,,,,
21,6,379.6,0.1,279.6,0.1,0.996,0.2,0.479,0.2,,,,
22,6,379.6,0.1,279.6,0.1,0.906,0.2,0.455,0.2,,,,
23,7,279.6,0.1,379.6,0.1,0.715,0.2,0.286,0.2,,,,
24,7,279.6,0.1,379.6,0.1,0.599,0.2,0.264,0.2,,,,
25,7,279.6,0.1,379.6,0.1,1.132,0.2,0.38,0.2,,,,
26,7,279.6,0.1,379.6,0.1,0.88,0.2,0.324,0.2,,,,
27,7,279.6,0.1,379.6,0.1,0.758,0.2,0.304,0.2,,,,
28,8,379.6,0.1,379.6,0.1,0.77,0.2,0.332,0.2,,,,
29,8,379.6,0.1,379.6,0.1,0.698,0.2,0.306,0.2,,,,
30,8,379.6,0.1,379.6,0.1,0.921,0.2,0.379,0.2,,,,
31,8,379.6,0.1,379.6,0.1,0.599,0.2,0.288,0.2,,,,
32,8,379.6,0.1,379.6,0.1,0.713,0.2,0.319,0.2,,,,
