"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2244592,0.000914666666667,0.00560656790123
0.1,0.2244592,0.00160066666667,-0.00141434567901
0.15,0.2247336,0.000640266666667,-0.00358244444444
0.2,0.2244592,0.000609777777778,0.00488669135802
0.25,0.2247336,0.00167688888889,0.00439548148148
0.3,0.2247336,0.00106711111111,0.00243911111111
0.35,0.2247336,0.00198177777778,0.00110098765432
0.4,0.225008,0.001372,0.0111792592593
0.45,0.225008,-4.6548413272E-17,0.0956165432099
0.5,0.2247336,0.00487822222222,0.313612098765
0.55,0.2247336,0.0282022222222,0.607406419753
0.6,0.2272032,0.0629595555556,0.931604938272
0.65,0.2293984,0.127900888889,1.11834938272
0.7,0.2403744,0.188268888889,1.05618592593
0.75,0.2494296,0.229428888889,1.04280469136
0.8,0.2623264,0.286443111111,1.12436246914
0.85,0.2779672,0.345134222222,1.16061037037
0.9,0.2969008,0.40474,1.15544419753
0.95,0.3185784,0.460992,1.13494888889
1,0.343,0.518006222222,1.10793234568
1.05,0.37044,0.571819111111,1.0733782716
1.1,0.3998008,0.629900444444,0.992328641975
1.15,0.434924,0.666487111111,1.00808123457
1.2,0.4659312,0.713287555556,1.29797975309
1.25,0.5032496,0.809327555556,1.35455358025
1.3,0.5490744,0.869543111111,1.03772320988
1.35,0.5916064,0.903690666667,0.835141481481
1.4,0.6382544,0.950186222222,0.690488641975
1.45,0.6879208,0.974424888889,0.559640493827
1.5,0.7359408,0.995462222222,0.612403209877
1.55,0.786156,1.03784177778,0.607321728395
1.6,0.8402128,1.06695866667,0.442088888889
1.65,0.8934464,1.08494711111,0.328517777778
1.7,0.9513448,1.06833066667,0.829551851852
1.75,0.9966208,1.12763155556,1.94171876543
1.8,1.0572632,1.30507688889,2.12871728395
1.85,1.1294304,1.43252044444,0.53423308642
1.9,1.208732,1.38861644444,-1.58262740741
1.95,1.2751368,1.21178088889,-2.36780098765
2,1.3311144,1.02564622222,-0.74646962963
2.05,1.3632192,1.10385022222,1.50005333333
2.1,1.4356608,1.29577777778,1.58279679012
2.15,1.5020656,1.33876711111,0.0680071604938
2.2,1.5739584,1.27656977778,-1.1809362963
2.25,1.6293872,1.19379244444,-1.74277876543
2.3,1.6977128,1.05110444444,-1.16425209877
2.35,1.7289944,1.01695688889,0.484180493827
2.4,1.7899112,1.15339466667,1.15053209877
2.45,1.8497304,1.20415866667,0.474695061728
2.5,1.9136656,1.196384,-0.293540246914
2.55,1.9710152,1.14409555556,-0.676853333333
2.6,2.0253464,1.13723555556,-1.51140197531
2.65,2.0846168,1.07762977778,-4.0917782716
2.7,2.1394968,0.846981333333,-8.47353975309
2.75,2.1968464,0.130035111111,-10.6246155556
2.8,2.148552,-0.514347555556,-7.1539637037
2.85,2.1158984,-0.625174666667,-2.50466222222
2.9,2.084068,-0.626699111111,-0.109743061728
2.95,2.0536096,-0.581575555556,0.880544518519
3,2.0242488,-0.515414666667,1.05079108642
3.05,2.0022968,-0.456693066667,0.782065407407
3.1,1.9808936,-0.436372222222,0.460272123457
3.15,1.9594904,-0.428673777778,0.266760839506
