"Time (s)","Position (m)","Velocity (m/s)","Acceleration (m/s²)"
0.05,0.223636,0.00945155555556,0.0874353580247
0.1,0.223636,0.0170737777778,0.00657204938272
0.15,0.2258312,0.0145432,-0.0859786666667
0.2,0.2255568,0.00426844444444,-0.10574562963
0.25,0.2258312,0.000609777777778,-0.0617569382716
0.3,0.2255568,-0.001372,-0.0184965925926
0.35,0.2255568,-0.000152444444444,0.00355703703704
0.4,0.2255568,0.000762222222222,-0.00906197530864
0.45,0.2258312,-0.001372,-0.0188861728395
0.5,0.2252824,-0.00259155555556,0.0151597530864
0.55,0.2255568,-0.00106711111111,0.104678518519
0.6,0.2255568,-0.00243911111111,0.39271382716
0.65,0.2233616,0.0339951111111,0.762391604938
0.7,0.2285752,0.0817102222222,0.98953382716
0.75,0.2313192,0.137047555556,1.1213982716
0.8,0.2420208,0.198025333333,1.15722271605
0.85,0.2516248,0.251228444444,1.2089691358
0.9,0.2664424,0.317541777778,1.27316518519
0.95,0.2834552,0.381873333333,1.27485901235
1,0.304584,0.447729333333,1.22573802469
1.05,0.3287312,0.503828888889,1.18423925926
1.1,0.3547992,0.563282222222,1.19033703704
1.15,0.3849832,0.622735555556,1.19795925926
1.2,0.4168136,0.686609777778,1.15290345679
1.25,0.4544064,0.737678666667,1.11648617284
1.3,0.4903528,0.792558666667,1.17907308642
1.35,0.5331592,0.856737777778,1.21396592593
1.4,0.57624,0.917410666667,1.15900123457
1.45,0.6245344,0.981132444444,0.922627654321
1.5,0.6755728,1.01771911111,0.552865185185
1.55,0.7277088,1.02884755556,0.337579753086
1.6,0.7787472,1.03418311111,0.41803654321
1.65,0.8289624,1.07214177778,0.490193580247
1.7,0.886312,1.10385022222,0.258732098765
1.75,0.942564,1.08555688889,0.253227160494
1.8,0.9927792,1.10293555556,0.686508148148
1.85,1.0501288,1.167572,0.908230123457
1.9,1.1110456,1.21193333333,0.802365925926
1.95,1.1719624,1.24547111111,0.671179012346
2,1.2353488,1.27794177778,0.517972345679
2.05,1.2998328,1.30370488889,0.265592098765
2.1,1.3667864,1.30858311111,-0.0179545679012
2.15,1.432368,1.28586888889,-0.00796098765433
2.2,1.4935592,1.29303377778,0.254158765432
2.25,1.559964,1.32840088889,0.233070617284
2.3,1.628564,1.329468,-0.0334530864197
2.35,1.6935968,1.315748,-0.188014814815
2.4,1.7591784,1.31056488889,-0.324198518519
2.45,1.8258576,1.286936,-0.518226419753
2.5,1.8886952,1.24912977778,-0.684221481481
2.55,1.94824,1.24516622222,-1.58948740741
2.6,2.015468,1.16132177778,-3.8922454321
2.65,2.07172,0.907806666667,-6.86279481481
2.7,2.1219352,0.377147555556,-7.71207975309
2.75,2.1051968,-0.0669231111111,-4.67636883951
2.8,2.093672,-0.110064888889,-1.02906775309
2.85,2.0912024,-0.0498493333333,0.529287111111
2.9,2.090928,0.00173786666667,0.707901185185
2.95,2.0925744,0.0280497777778,0.505725975309
3,2.0947696,0.0387208888889,0.328399209877
