"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
0.595,2.31513506428,7.35351266034,12.2973969904,26.324326097
0.629,2.75181524611,8.27054104217,11.7512592213,25.3513484662
0.662,3.10115939157,9.10023338764,11.4520379097,23.9137088497
0.695,3.49417155521,9.84258969674,11.5060128708,22.5791515853
0.729,3.88718371885,10.5849460058,11.1614150951,21.9247125618
0.762,4.23652786431,11.3273023149,11.0169413036,21.0915441552
0.796,4.62954002795,11.9823225877,10.7818334647,20.6922014112
0.829,4.93521615523,12.6810108786,11.0639471305,21.0725344458
0.862,5.37189633705,13.4233671877,11.0417172235,20.2356906926
0.896,5.72124048251,14.0347194422,9.95708160187,19.4017055423
0.929,5.98324859161,14.689739715,10.1850566696,19.2822148265
0.962,6.37626075525,15.3447599877,10.7867135083,18.2738764305
0.996,6.76927291889,15.9124442241,9.99129499508,17.4032276559
1.029,7.03128102798,16.4801284605,9.52342003048,17.2697037986
1.062,7.33695715526,17.0478126968,10.5251036979,17.3503584756
1.096,7.77363733709,17.6591649514,10.6171942715,16.9957664797
1.129,8.07931346436,18.1831811696,9.89319591036,16.6334957318
1.163,8.42865760982,18.7945334241,9.25615624998,15.7176878373
1.196,8.69066571892,19.231213606,8.87057229596,14.9671589186
1.229,8.99634184619,19.7552298241,9.0820795834,14.9311323544
1.263,9.30201797347,20.2355780242,9.26457687743,14.7855722938
1.296,9.60769410075,20.7595942423,9.71361587629,14.3870912144
1.329,9.95703824621,21.1962744242,9.73629127988,13.698486441
1.363,10.2627143735,21.632954606,9.59045761014,14.0221905518
1.396,10.6120585189,22.1569708242,9.12915371977,13.8064803756
1.429,10.874066628,22.593651006,8.45955890337,12.3437196498
1.463,11.1360747371,22.9429951515,8.91501057769,11.8142628297
1.496,11.4854188826,23.3796753333,9.02309435404,11.4878389624
1.53,11.7474269917,23.7290194787,8.96566774388,10.9636950599
1.563,12.0967711371,24.0783636242,8.616928459,11.2817440869
1.596,12.3151112281,24.4713757878,8.32114807253,11.6228752805
1.63,12.6207873553,24.9080559697,8.86346588335,10.7182867219
1.663,12.9264634826,25.1700640788,8.98359365916,10.2214466848
1.696,13.2321396099,25.5630762424,8.64702880524,10.2077320732
1.73,13.494147719,25.8687523697,8.50119513549,9.80934491932
1.763,13.7998238463,26.2180965151,8.4355215178,9.49636205449
1.796,14.0618319554,26.5237726424,8.13204468328,8.45955890337
1.83,14.3238400644,26.7421127333,8.40772290378,8.47995979953
1.863,14.6295161917,27.0914568788,8.51580668013,8.55219669528
1.897,14.8915243008,27.3534649879,8.6743624941,7.73374600998
1.93,15.2408684463,27.5718050788,8.10470319823,7.77827933097
1.963,15.415540519,27.8774812061,7.81304365493,7.51919969351
1.997,15.7212166463,28.095821297,8.57179854386,6.83104821295
2.03,16.0268927736,28.3141613879,8.43497838324,6.64520189853
2.063,16.2889008827,28.5325014788,7.99309071789,6.50299085831
2.097,16.5509089918,28.7508415697,7.77420340871,6.32076717341
2.13,16.8129171008,28.9691816606,7.59247793746,5.84294278566
2.163,17.0312571918,29.1438537334,7.98639205839,5.19258413941
2.197,17.336933319,29.2748577879,8.62443359103,5.58070754757
2.23,17.6426094463,29.536865897,8.40717976922,5.50792751726
2.264,17.9046175554,29.6678699516,8.02260102869,4.82886094902
2.297,18.1666256645,29.8425420243,7.92329625703,4.52845841201
2.33,18.4286337736,29.9735460788,7.84725704815,4.03307217867
2.364,18.6906418827,30.1045501334,7.84725704815,3.77779485433
2.397,18.9526499918,30.2355541879,7.92329625703,3.32260094927
2.43,19.2146581009,30.3228902243,7.95670070274,2.98019971918
2.464,19.47666621,30.4102262607,8.17313778085,3.19691040642
2.497,19.7823423373,30.5412303152,7.92329625703,3.29060538642
2.53,20.0006824282,30.6722343698,7.62430235538,2.28769907846
2.564,20.2626905373,30.6722343698,8.08129903652,1.84883002354
2.597,20.5683666645,30.7595704061,7.93628211047,2.2827945326
2.631,20.7867067554,30.8469064425,7.98639205839,2.17743868018
2.664,21.0923828827,30.9342424788,8.25411457659,1.3508743888
2.697,21.3543909918,30.9342424788,7.92031068759,0.510281039538
2.731,21.6163991009,30.9342424788,7.77420340871,0.580884447905
2.764,21.87840721,30.977910497,7.55608792231,0.584462156519
2.797,22.0967473009,30.977910497,7.8836470633,0.471714402449
2.831,22.4024234282,31.0215785152,8.24619142029,0.036390015152
2.864,22.6644315373,30.977910497,8.25411457659,-0.403598349868
2.897,22.9701076646,30.977910497,7.66051132568,-0.436957874679
2.931,23.1447797373,30.977910497,7.86404521472,-1.19598228903
2.964,23.4941238828,30.8905744607,8.18992594742,-1.73911684353
2.998,23.7124639737,30.8469064425,8.05962674268,-1.88776691777
3.031,24.0181401009,30.7595704061,8.32689460689,-1.89948966472
3.064,24.28014821,30.7159023879,8.06614435733,-1.78176719908
3.098,24.5421563191,30.6722343698,8.20952779601,-2.50630869479
3.131,24.8478324464,30.5412303152,7.85051622672,-3.10480399291
3.164,25.0661725373,30.4538942788,7.41193266085,-3.37913409132
3.198,25.3281806464,30.3228902243,7.41193266085,-3.77779485433
3.231,25.5465207373,30.1918861697,7.85051622672,-3.94345312094
3.264,25.8521968646,30.0608821152,8.2028291365,-4.10223131194
3.298,26.1142049737,29.9298780606,8.04490902137,-4.52974218459
3.331,26.3762130828,29.7552059879,8.22631596257,-4.9284029476
3.365,26.6818892101,29.5805339152,7.95018308809,-4.90127888963
3.398,26.900229301,29.4495298606,7.92329625703,-5.47573445094
