"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.834256900E-2,8.477770805E0,4.713860750E-1,5.223531723E0,9.968956130E0
2.072100600E-2,8.458627701E0,4.618147612E-1,5.230710506E0,9.956002604E0
2.309944400E-2,8.415556908E0,4.594219327E-1,5.197210789E0,9.901700185E0
2.547782900E-2,8.389236450E0,4.570291340E-1,5.170889854E0,9.865407530E0
2.785626700E-2,8.370093346E0,4.713860750E-1,5.144568920E0,9.836018342E0
3.023470400E-2,8.334200859E0,4.857429862E-1,5.125426292E0,9.796164805E0
3.261314200E-2,8.355736732E0,5.096712112E-1,5.166104317E0,9.837008432E0
3.499157900E-2,8.360522270E0,5.072783828E-1,5.204389095E0,9.861101857E0
3.736996500E-2,8.355736732E0,5.192425251E-1,5.235496044E0,9.874126188E0
3.974840200E-2,8.348558426E0,5.096712112E-1,5.245067120E0,9.872634989E0
4.212684000E-2,8.341380119E0,5.096712112E-1,5.242674351E0,9.865293781E0
4.450527700E-2,8.374878883E0,4.809573591E-1,5.254638672E0,9.898542512E0
4.688366300E-2,8.324629784E0,4.881358147E-1,5.264209747E0,9.861523304E0
4.926210000E-2,8.300702095E0,4.689932466E-1,5.221138954E0,9.817428478E0
5.164053800E-2,8.264809608E0,4.187439680E-1,5.185246468E0,9.765715811E0
5.401897500E-2,8.336593628E0,4.450650215E-1,5.173282623E0,9.821391413E0
5.639741300E-2,8.403593063E0,4.881358147E-1,5.197210789E0,9.892909225E0
5.877579800E-2,8.425128937E0,4.953143001E-1,5.257031441E0,9.943063584E0
6.115423500E-2,8.377271652E0,4.737788737E-1,5.297709465E0,9.923148307E0
6.353267300E-2,8.298309326E0,4.187439680E-1,5.266602516E0,9.837397331E0
6.591111000E-2,8.260024071E0,3.948157430E-1,5.130211830E0,9.731544099E0
6.828949600E-2,8.465806961E0,4.833501875E-1,5.103890896E0,9.897131765E0
7.066793300E-2,8.525627136E0,5.431707501E-1,5.225924492E0,1.001457135E1
7.304637100E-2,8.468199730E0,5.527420044E-1,5.300102234E0,1.000534927E1
7.542480800E-2,8.405985832E0,4.594219327E-1,5.314459324E0,9.955658905E0
7.780319400E-2,8.386843681E0,4.115654826E-1,5.223531723E0,9.889075626E0
8.018163100E-2,8.458627701E0,4.235295951E-1,5.197210789E0,9.936737889E0
8.256006900E-2,8.487341881E0,4.450650215E-1,5.237888813E0,9.983412958E0
8.493850600E-2,8.451449394E0,4.426721931E-1,5.218746185E0,9.942749483E0
8.731694400E-2,8.434700012E0,4.211367965E-1,5.170889854E0,9.902505864E0
8.969532900E-2,8.456234932E0,4.450650215E-1,5.168497086E0,9.920652913E0
9.207376700E-2,8.444271088E0,4.283152521E-1,5.180460930E0,9.915964078E0
9.445220400E-2,8.386843681E0,4.163511395E-1,5.168497086E0,9.860317304E0
9.683064200E-2,8.322237015E0,4.043870270E-1,5.120640278E0,9.779780910E0
9.920907900E-2,8.310273170E0,4.067798555E-1,5.091926575E0,9.754682274E0
1.015874650E-1,8.288737297E0,4.354937077E-1,5.039284706E0,9.710160199E0
1.039659020E-1,8.360522270E0,4.546363056E-1,5.032105923E0,9.768680403E0
1.063443400E-1,8.384450912E0,4.833501875E-1,5.082355499E0,9.816464839E0
1.087227770E-1,8.370093346E0,4.905286431E-1,5.137390137E0,9.833201838E0
1.111011630E-1,8.350951195E0,4.857429862E-1,5.156532764E0,9.826706582E0
1.134796000E-1,8.319844246E0,4.666004181E-1,5.137390137E0,9.789295258E0
1.158580380E-1,8.300702095E0,4.642075896E-1,5.056034088E0,9.730396942E0
1.182364750E-1,8.298309326E0,4.618147612E-1,5.053641319E0,9.726998567E0
1.206149130E-1,8.315058708E0,4.809573591E-1,5.070391178E0,9.750917290E0
1.229932980E-1,8.303094864E0,5.072783828E-1,5.103890896E0,9.759529597E0
1.253717350E-1,8.322237015E0,5.000999570E-1,5.130211830E0,9.789218678E0
